pc1, pc2 ,class
-2.132317,0.589958,7
0.508635,1.523285,5
-1.88661,0.430167,7
-1.786218,3.896188,1
-4.137358,-0.715434,1
2.992043,1.95898,0
-2.013001,-3.36687,7
-1.358302,2.174665,9
1.06505,0.225086,2
0.311037,0.4914,3
-2.241113,2.031467,7
0.231826,0.148468,3
-0.090011,0.410948,2
-1.114238,2.670257,4
-3.068559,2.581634,1
1.547414,2.067394,6
1.092044,-1.23735,2
-1.434036,1.7834,7
0.342481,0.966507,5
-0.308758,1.632376,5
-2.063229,-0.492738,7
-0.968726,1.151002,4
2.771259,1.339211,0
0.331927,1.209545,2
2.124722,-1.418373,6
-0.197573,1.582389,3
1.260757,0.752573,6
-0.890102,3.262741,4
2.813894,0.684094,0
-0.96056,1.167123,4
1.115773,-1.508244,2
0.865335,1.871191,6
2.432084,1.170654,0
1.619775,2.538706,0
2.684413,-0.699358,0
3.056964,1.977666,0
1.304477,-0.758511,3
-1.756658,2.986595,1
1.256455,1.235115,6
0.839576,0.823865,2
-0.441007,-0.548123,2
0.495968,0.362477,3
-2.998618,1.925383,1
-1.038029,-0.500427,4
-3.688159,0.33296,1
0.603965,0.829094,5
-0.921799,-0.063531,4
1.976797,1.137442,6
-0.338297,-3.551531,4
-1.642396,1.195422,7
1.225169,-0.222811,2
-0.452572,1.642842,8
-1.928885,-3.091739,7
-1.174509,-0.561203,9
0.714068,-1.258441,2
2.994697,2.110496,0
0.278269,-0.515293,5
-1.87597,3.071169,1
-1.025204,-3.340277,4
1.13297,-0.049684,2
-0.225786,-0.73957,8
0.502795,0.697202,3
-0.054342,1.087366,2
-1.041186,0.056426,4
-1.950469,3.028274,1
0.634973,0.591564,5
-0.461712,0.546262,4
2.180193,0.764059,6
2.605695,0.452868,0
-1.6204,0.714786,7
1.783433,-0.661955,9
-0.3306,2.0698,8
-0.464175,-4.599199,4
-1.287178,0.123221,9
-0.047942,-0.4979,8
3.673108,1.683573,0
-4.086537,0.277934,1
-1.85259,3.529461,1
0.728289,1.971072,0
1.039381,0.190282,2
1.111099,-0.402211,2
0.558255,0.758187,3
1.139986,0.523073,2
-0.480752,-0.011579,4
-1.182297,-2.931506,4
0.456263,-0.267789,5
-2.394821,-0.829469,8
1.705313,1.474171,6
0.212561,-1.039048,5
-1.491138,1.436574,7
-1.996638,-1.872478,7
-0.705221,2.373317,8
0.039789,-0.781945,8
-1.258709,-0.2061,9
-1.846424,1.14942,7
-0.563769,-0.461148,4
-0.705687,-1.563526,7
0.327771,1.21934,3
1.059206,-0.768466,2
4.460787,2.579643,0
-0.045457,-0.940358,8
1.61499,1.391196,6
0.068245,-0.685542,8
1.64522,1.979642,6
-4.657686,-2.140824,1
1.54898,1.298788,6
0.169524,0.308843,8
-1.123309,-0.387713,9
-0.396847,-2.468626,4
4.382924,3.272395,0
-1.101664,-1.366893,9
3.087444,3.364807,0
-1.060021,-0.091399,4
-1.677617,3.64659,1
0.255264,-0.496295,5
-1.064229,0.767421,4
-1.76451,-1.786212,7
0.39753,0.949622,5
0.380771,-0.373251,3
-1.616043,1.740736,7
-1.336398,-0.336408,4
-1.201762,0.57504,9
0.134361,-0.270578,8
0.516889,1.134409,5
-0.041539,0.185819,8
1.741365,1.217379,6
-0.004911,-1.244514,3
-0.17844,0.842582,8
1.959715,-0.156019,6
-0.974966,-0.733399,9
-0.581556,-5.552727,9
-2.065395,2.914629,1
-0.150595,-0.085531,8
0.436637,0.447988,3
0.33051,0.140489,5
-0.391204,1.423771,8
2.224679,-3.301669,6
0.456715,1.144782,5
-1.083064,0.037962,9
-1.809377,0.309185,7
1.162074,-0.159222,2
0.277424,1.136953,5
1.790837,1.060075,0
-0.150902,0.865044,8
-0.413814,-0.255629,5
-1.882481,3.858582,1
-3.987268,-0.452014,1
4.484242,3.122948,0
-0.670027,-0.975572,9
-1.899378,3.784806,1
0.67096,0.453788,8
1.574659,1.697936,6
-1.806432,-1.977731,7
4.668377,2.214278,0
0.806878,0.318417,9
0.509629,0.695206,3
4.35065,0.655812,0
-0.208277,1.037719,8
0.39444,-1.363643,8
-1.337385,-0.224649,9
1.362151,1.878954,6
-1.62559,1.677465,7
-0.112885,0.672076,8
-0.953484,0.326926,4
-2.002871,-0.940951,7
0.474285,0.932018,5
-0.968922,-1.514745,9
-0.527407,-1.499434,2
1.993788,0.48563,6
-1.613859,1.684436,7
0.256385,-4.763881,4
0.423252,1.144847,5
-1.095893,-1.19006,9
0.967524,-2.234374,2
-0.855737,-0.722641,3
-2.288885,3.438384,1
1.89348,-0.09344,6
0.320051,1.36517,3
-1.173074,-2.617148,9
1.041877,-0.305784,2
1.29738,-0.847845,2
0.717058,0.842342,5
1.92374,1.037381,6
-0.042822,1.283703,8
3.502912,1.041795,0
-1.809702,0.381936,7
-1.599217,-3.689467,7
-1.521509,3.774536,1
-1.374409,0.297018,9
-0.113238,1.090159,8
-2.121723,-1.735034,7
3.138872,2.840568,0
0.798724,-4.421239,9
-1.204019,0.493068,9
1.592264,-4.214867,4
1.648375,1.884063,6
1.029043,-1.05674,2
-0.205694,0.942619,8
0.463833,0.870368,5
-2.131146,3.085124,1
-0.95657,-1.164877,4
-1.946743,3.53511,1
0.46623,-0.06675,5
0.609352,0.983436,5
-3.333786,1.126429,1
-1.707498,1.257632,7
0.283443,-0.264259,3
1.651077,1.337792,6
-0.428514,-3.921128,4
-0.046081,1.987357,3
1.09081,0.764524,2
0.739814,1.184042,5
0.954341,-0.159332,6
-0.948908,-0.373762,4
0.926323,-4.436786,4
2.703862,2.323115,0
1.439429,-0.686554,4
-0.787405,-0.783284,4
0.99912,1.786842,6
-1.646724,1.15314,7
0.022898,-0.643616,2
-1.005812,0.021408,4
0.303954,0.198331,3
0.60116,0.947138,3
-0.522244,0.909559,8
3.122706,2.456238,0
3.549444,1.554714,0
0.324221,1.029558,3
1.283677,-1.167453,2
0.212103,-2.87694,2
-2.05688,0.76392,9
0.020984,1.38646,8
0.631538,-0.760521,2
0.377394,1.211846,3
-1.695681,-0.740908,7
2.076155,2.38894,0
-2.268152,-2.422811,1
-2.057016,3.589343,1
3.780885,-1.274591,0
0.912786,-0.175509,2
0.497345,-0.449484,3
0.42988,-1.243759,3
-0.151323,-0.939539,8
-0.595511,-1.674882,4
-0.405398,0.125034,3
0.129869,2.816348,5
-1.692996,0.914001,7
1.405261,1.174972,6
0.344474,-4.146529,4
-1.706407,-0.544967,7
-1.318053,0.837419,7
-0.225319,1.58871,8
0.618924,-0.885112,5
-1.063884,-0.078835,9
-1.968169,-0.123679,7
2.87799,3.385182,0
0.525913,-0.05314,3
-2.025129,3.596734,1
0.668088,1.511799,6
0.52328,0.75644,2
-0.891494,0.037517,4
0.415884,-0.398785,3
-0.897396,0.814235,4
-0.647599,-0.679447,4
-0.799235,-0.668504,7
-0.634303,1.234027,5
-1.438151,-0.90921,9
1.559789,1.402251,6
2.829974,0.714052,9
0.988181,2.91857,0
-1.966667,-1.937943,7
-1.565872,3.431621,1
-0.423844,-3.493163,4
1.173244,0.517889,2
-2.050783,-3.36505,7
0.561946,0.09554,3
2.792677,-0.601811,6
-1.469866,1.573947,7
-0.015475,0.331256,5
-0.357782,2.229636,8
-0.473095,-3.163679,4
0.119648,2.937644,5
0.730636,-0.253983,5
1.110119,0.72236,2
-1.099052,1.363627,7
-1.955014,3.882305,1
-2.705303,1.082948,1
0.227434,2.421886,5
0.993879,1.529799,6
-0.25297,1.437047,8
0.49904,-1.52993,5
-0.190269,1.063283,8
-0.443062,-4.190237,4
2.780498,2.108391,0
-1.668038,0.482823,7
-0.965392,-0.267622,9
-1.129503,-0.188189,9
0.665181,1.148063,2
-0.90909,-3.644469,9
-1.368809,0.258667,7
-1.168992,-0.250999,7
-0.51413,3.963334,8
-2.226187,-1.033533,7
-1.019641,0.962947,4
0.503533,-0.330605,2
0.748722,2.717426,6
-0.57506,-3.266855,9
-2.151087,4.252601,1
-0.933181,-0.140922,7
1.117428,2.968119,0
1.802774,-0.714154,6
-1.08422,0.32894,4
0.792937,0.177125,2
-0.151224,3.215559,5
-1.183545,1.297432,7
3.095121,1.833386,0
-0.648664,-0.137874,7
-1.980651,4.323335,1
2.190121,0.71575,0
0.193594,-0.054377,3
-0.901336,0.178325,7
0.922258,2.461056,6
0.53958,0.515157,5
1.599189,2.460762,0
1.110126,0.588785,6
-1.588751,3.236796,1
0.174385,-0.415668,5
-2.304576,4.596773,1
-1.915296,-0.7604,7
-0.186692,1.607029,8
0.330022,1.563841,5
2.79284,3.163258,0
1.178205,-0.630024,3
-0.914557,0.07302,4
-0.970301,-1.03928,7
-1.308411,0.335471,7
0.451522,-0.509816,5
-1.333142,1.087018,7
-0.218931,-0.149793,8
1.28582,2.137821,6
0.606001,-1.116958,9
0.481186,0.217836,3
-0.2499,0.049619,8
1.429326,2.535892,6
-4.483899,-1.633523,1
2.249673,2.430597,0
-1.202628,-1.24205,9
-1.524155,1.236416,7
-2.095836,0.429797,1
0.189665,0.00436,3
3.829402,-1.576005,0
0.449371,2.683245,5
2.491919,-1.236384,6
-0.920597,0.584297,4
-0.217677,-2.306677,4
0.791424,1.173644,2
-0.367575,-4.932495,4
-1.00943,-0.547396,4
0.638321,-0.108112,3
-2.24299,4.3534,1
-1.916016,-1.279823,7
-1.34641,1.002069,7
1.438757,1.015462,6
1.972373,2.896065,0
0.641701,-0.246702,3
1.377512,2.65729,6
2.332514,0.614613,0
-1.362655,1.538053,7
-4.900368,-0.113737,1
-1.699836,4.602612,1
-1.52816,-2.812669,4
-0.936354,0.404293,9
-0.947494,-2.289661,4
-0.508087,-0.350747,3
-0.905211,-0.962631,4
-0.262577,2.857483,8
1.360159,-0.254391,2
0.625463,1.479676,2
-2.914018,1.924982,1
-0.925899,2.893296,8
-1.343153,-2.428539,7
2.387493,2.929219,0
-0.201035,-0.084643,8
-2.380384,4.262966,1
3.079237,-0.29952,0
-0.696922,0.675615,7
1.281771,1.339882,6
0.435667,0.812296,3
-2.057112,0.134901,7
-1.460855,0.843476,7
-0.051569,-3.675076,5
-0.254624,1.650319,8
-0.100589,0.244985,8
-1.258759,0.998821,9
4.670351,-1.38601,0
2.377417,3.074039,0
1.61616,0.021401,4
-1.744273,2.68646,1
0.137825,0.623022,5
0.513378,1.499353,2
1.423577,-0.485357,2
0.013261,0.353008,3
-1.307293,2.008018,9
-1.176036,0.774593,4
-0.685147,-2.813341,9
0.659781,1.685283,5
5.007042,-0.542499,0
1.153623,2.433436,6
-2.279742,-1.330739,7
-1.423071,0.777884,7
-2.61789,1.702254,1
0.354837,0.5091,8
2.535298,-0.514274,0
0.163491,0.617391,2
1.167321,-0.887798,2
2.605567,1.01697,0
0.673069,-3.548933,4
-1.903239,3.545651,1
-3.574277,0.089112,1
-0.03377,0.748307,2
-1.843709,-0.459417,7
0.62829,0.766405,3
-1.371067,-2.241163,9
-1.316463,2.029506,7
0.716102,-0.776178,2
0.161412,1.316418,8
-3.691337,0.893615,1
-1.195978,0.597518,9
0.184593,0.657381,5
-0.142462,0.269275,8
-0.069916,-0.956276,8
-2.93925,3.255497,1
-1.215496,1.940231,9
0.045837,0.437993,8
0.098763,-0.281648,3
-1.473436,4.568459,1
0.460865,1.626142,6
0.504809,1.752009,5
-1.867407,-1.352662,7
-1.016094,0.694819,4
0.018517,0.149064,2
-0.476738,-1.358591,7
2.547041,-0.061344,0
0.502681,0.530905,3
5.130745,0.596619,0
-1.334571,2.392492,4
-1.882106,2.849606,1
-2.269096,3.087915,1
-1.576975,1.34204,7
